ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
939,chscase_whale_939.csv,0.9863636363636363,0.04312196809320517,0.9863636363636363,0.04312196809320517,,,,,,,0.517588932806324,0.03957451968650932,0.500197628458498,0.04370176512877938
786,cleveland_786.csv,,,,,,,,,,,0.5189247311827957,0.06812336906093291,,
1467,climate-model-simulation-crashes_1467.csv,0.9148148148148149,0.009562921842487434,0.8555555555555557,0.035781177151085024,0.9111111111111111,0.022764307301957762,0.888888888888889,0.040945985066116034,0.8481481481481481,0.02276430730195774,0.9148148148148149,0.009562921842487434,0.9148148148148149,0.009562921842487434
890,cloud_890.csv,0.7427272727272728,0.09486832980505139,0.77,0.2203615861490785,0.6936363636363636,0.07832615288583578,0.5909090909090908,0.17612292226327747,0.7609090909090909,0.23613236548855665,0.7036363636363637,0.03716293264668096,0.6763636363636364,0.0859452919290814
27,colic_27.csv,,,,,,,,,,,,,,
897,colleges_aaup_897.csv,0.9440097259062776,0.021988608063161223,0.9061229000884173,0.030503631729168746,,,,,,,0.7002578838785735,0.003590092620389662,0.6847406424992631,0.04989070198847118
987,collins_987.csv,1.0,0.0,1.0,0.0,0.8219999999999998,0.275108059577404,1.0,0.0,0.9140,0.16276772816911017,1.0,0.0,0.8400000000000001,1.1702778228589004e-16
41538,conference_attendance_41538_copy.csv,0.8820,0.023237900077244526,0.8420,0.09981093237828319,0.8616666666666667,0.039220805766050644,0.6705000000000001,0.25934396103140095,0.7718333333333334,0.0713816468440792,0.8740,0.012202003478482094,0.8740,0.012202003478482094
40669,corral_40669.csv,0.75,0.2429563289518875,0.63125,0.16783445050935691,0.89375,0.11803512895179412,0.84375,0.1358167167750552,0.9375,0.10206207261596575,0.75,0.2429563289518875,0.6,0.11858541225631422
796,cpu_796.csv,0.7892857142857144,0.03461718807549904,0.855952380952381,0.08256448040190333,0.7326190476190476,0.15195065734498714,0.9278571428571428,0.04754027876775861,0.9619047619047618,0.04375888492727054,0.7464285714285714,0.022482881705103618,0.7702380952380953,0.08362571534563869
31,credit-g_31.csv,0.7,0.0,0.5960,0.027162065049951178,0.7540000000000001,0.054201270997807596,0.71,0.043716256828680015,0.6110,0.041753243386991316,0.7,0.0,0.7,0.0
